Tienda_Delegacion,Tienda_Colonia,Tienda_Nombre,Tienda_Url
Benito Juárez,Álamos,Abarrotes Patoto,https://abarrotespatoto.netamx.app/
Gustavo A. Madero,Tres Estrellas,Abarrotes La Estrella,https://abarroteslaestrella.netamx.app/
Benito Juárez,Narvarte Poniente,Cremería y Abarrotes La Oruga,https://cremeriayabarroteslaoruga.netamx.app/
Álvaro Obregón,Panteón Sta Fé,Patylu,https://patylu.netamx.app/
Cuajimalpa de Morelos,Granjas Navidad,Abarrotes Los Mueganos,https://abarroteslosmueganos.netamx.app/
Cuajimalpa de Morelos,Granjas Navidad,Super Esquina,https://superesquina.netamx.app/
Álvaro Obregón,Panteón Sta Fé,Patylu,https://patylu.netamx.app/
Benito Juárez,Narvarte Oriente,Esperanza,https://esperanza.netamx.app/
Benito Juárez,Atenor Salas,La bicla de kary,https://labicladekary.netamx.app/
Benito Juárez,Nonoalco,Cavana,https://cavana.netamx.app/
Benito Juárez,Narvarte Poniente,Abarrotes el puerto,https://abarroteselpuerto.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,Abarrotes el Río,https://abarroteselrio.netamx.app/
Cuauhtémoc,Sta María la Ribera,Abts Lory - Santa Maria la Rivera,https://abtslory-santamarialarivera.netamx.app/
Tlalnepantla Centro,Tlalnepantla Centro,Abts Osnaya,https://abtsosnaya.netamx.app/
Álvaro Obregón,2da Amp el Pirú,Abarrotes Castilla Galante,https://abarrotescastillagalante.netamx.app/
Cuajimalpa de Morelos,Granjas Navidad,Cremería Angie,https://cremeriaangie.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,La Curva,https://lacurva.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Papelería telaraña,https://papeleriatelarana.netamx.app/
Cuajimalpa de Morelos,Manzanastitla,Don Matías,https://donmatias.netamx.app/
Álvaro Obregón,Piloto Adolfo López Mateos,Abarrotes Macías,https://abarrotesmacias.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Abarrotes bayo,https://abarrotesbayo.netamx.app/
Álvaro Obregón,Tolteca,La mandarina atómica,https://lamandarinaatomica.netamx.app/
Álvaro Obregón,José María Pino Suárez,Papelería G?icho,https://papeleriaguicho.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Cremería San José,https://cremeriasanjose.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Abarrotes la marukita,https://abarroteslamarukita.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Cremeria Valma,https://cremeriavalma.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abarrotes Roy,https://abarrotesroy.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abarrotes San Juan,https://abarrotessanjuan.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abts Mayte,https://abtsmayte.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abarrotes serviplus,https://abarrotesserviplus.netamx.app/
Álvaro Obregón,Olivar del Conde 1ra Secc,Porvenir,https://porvenir.netamx.app/
Álvaro Obregón,Olivar del Conde 1ra Secc,Frida Lucía,https://fridalucia.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Crisomy Max,https://crisomymax.netamx.app/
Álvaro Obregón,Lomas de Plateros,Papelería Centenario,https://papeleriacentenario.netamx.app/
Álvaro Obregón,Pueblo de Sta Lucía,Los Chubys,https://loschubys.netamx.app/
Álvaro Obregón,Molino de Rosas,Farmacia Leo,https://farmacialeo.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Tienda Pati Uñas,https://tiendapatiunas.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Vily,https://vily.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Misc La Esperanza / Gabriel,https://misclaesperanza.netamx.app/
Emiliano Zapata 2da Secc,Emiliano Zapata 2da Secc,Papelería Monarca,https://papeleriamonarca.netamx.app/
Emiliano Zapata 2da Secc,Emiliano Zapata 2da Secc,Abarrotes judisa,https://abarrotesjudisa.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Jarceria La Cabaña,https://jarcerialacabana.netamx.app/
Álvaro Obregón,Progresista,Mini exprés,https://miniexpres.netamx.app/
Álvaro Obregón,Progresista,Abts La Gloria,https://abtslagloria.netamx.app/
Álvaro Obregón,Tlacuitlapa,La concha,https://laconcha.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Cafeteria La Favorita,https://cafeterialafavorita.netamx.app/
Benito Juárez,Narvarte Poniente,La parrilla del viejo,https://laparrilladelviejo.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Lider Optulia Pineda,https://lideroptuliapineda.netamx.app/
Cuajimalpa de Morelos,Contadero,Dulces Cae - San Mateo,https://dulcescae-sanmateo.netamx.app/
Álvaro Obregón,Minas de Cristo,Ultramarinos plateros,https://ultramarinosplateros.netamx.app/
Álvaro Obregón,Piloto Adolfo López Mateos,Abts La Esperanza_Roberto - Piloto,https://abtslaesperanza.netamx.app/
Villa de Gpe Xal,Villa de Gpe Xal,Micelanea Lalos,https://micelanealalos.netamx.app/
Álvaro Obregón,Tempranillo,Abts Don Fer,https://abtsdonfer.netamx.app/
Iztapalapa,Leyes de Reforma 2da Secc,Abts Adriana,https://abtsadriana.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,Abarrotes el Río,https://abarroteselrio.netamx.app/
Álvaro Obregón,Corpus Cristy 1er Reacomodo,Shopping,https://shopping.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Abts La Ventanita,https://abtslaventanita.netamx.app/
Iztapalapa,Valle del Sur,Tienda Rosi - Itzapalapa,https://tiendarosi-itzapalapa.netamx.app/
Cuajimalpa de Morelos,San José de los Cedros 2da Secc,Abarrotes 711 Express - La Llave,https://abarrotes711express-lallave.netamx.app/
Mexico 2da Secc,Mexico 2da Secc,Abts Rosy,https://abtsrosy.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,distribuidora g.c.b.a,https://distribuidoragcba.netamx.app/
Álvaro Obregón,2da Amp Jalalpa el Grande,Jarceria coria,https://jarceriacoria.netamx.app/
Cuauhtémoc,San Rafael,Abarrotes Leon - Fabian,https://abarrotesleon-fabian.netamx.app/
El Chamizal,El Chamizal,Cremería y Abarrotes mamá meche,https://cremeri­ayabarrotesmamameche.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Abts vinos y licores Santa Elena,https://abtsvinosylicoressantaelena.netamx.app/
Coyoacán,Pedregal de Santo Domingo,La pequeña,https://lapequena.netamx.app/
Álvaro Obregón,Piloto Adolfo López Mateos,Ava Mazatlan 291 - Piloto Alvaro Obregon,https://avamazatlan291.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Abts Flores,https://abtsflores.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Abts Los Pinos - Avenida San Jose,https://abtslospinosavenidasanjose.netamx.app/
Metropolitana 2da Secc,Metropolitana 2da Secc,Abts El Molino,https://abtselmolino.netamx.app/
Valle de Aragon 3ra Secc,Valle de Aragon 3ra Secc,Abts Diana Laura,https://abtsdianalaura.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Cremeria Nalleli,https://cremerianalleli.netamx.app/
El Chamizal,El Chamizal,Misc la Ventana Azul,https://misclaventanaazul.netamx.app/
El Chamizal,Libertad esquina,Abarrotes El Michoacano,https://abarroteselmichoacano.netamx.app/
El Chamizal,El Chamizal,Abts America,https://abtsamerica.netamx.app/
El Chamizal,El Chamizal,Productos de Limpieza Gina,https://productosdelimpiezagina.netamx.app/
Iztacalco,Granjas México,Dulces Lola,https://dulceslola.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,La condesa,https://lacondesa.netamx.app/
Benito Juárez,San Pedro de los Pinos,Misc El Planeta,https://miscelplaneta.netamx.app/
Miguel Hidalgo,Tacubaya,Dulce Fiesta Janydan 2,https://dulcefiestajanydan2.netamx.app/
Miguel Hidalgo,Tacubaya,Dulce Fiesta Janydan 1,https://dulcefiestajanydan1.netamx.app/
Miguel Hidalgo,Miguel Hidalgo,Bodeguita conchitas,https://bodeguitaconchitas.netamx.app/
Estrella,Estrella,Abts la nueva esperanza,https://abtslanuevaesperanza.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Articulos de limpieza dona cuca,https://articulosdelimpiezadonacuca.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,Abts Allende,https://abtsallende.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Abts Mary,https://abtsmary.netamx.app/
Álvaro Obregón,La Mexicana,La bajadita,https://labajadita.netamx.app/
Iztacalco,Barrio de San Miguel,Dulces Elena,https://dulceselena.netamx.app/
Juárez Pantitlan,Juárez Pantitlan,Dulces Perla,https://dulcesperla.netamx.app/
Álvaro Obregón,Piloto Adolfo López Mateos,La Rosita,https://larosita.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,La chiquita,https://lachiquita.netamx.app/
Benito Juárez,Moderna,EL SAZON,https://elsazon.netamx.app/
Álvaro Obregón,Palmas,La Despensa,https://ladespensa.netamx.app/
El Chamizal,El Chamizal,Productos de limpieza Y,https://productosdelimpiezay.netamx.app/
Iztacalco,Granjas México,Botanas El Pancho,https://botanaselpancho.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Abts Esperanza,https://abtsesperanza.netamx.app/
Gustavo A. Madero,Santa Rosa,Abts Lucy,https://abtslucy.netamx.app/
Juárez Pantitlan,Juárez Pantitlan,Dulces Princesa,https://dulcesprincesa.netamx.app/
Benito Juárez,Álamos,SuperCool - Alamos,https://supercool-alamos.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Papeleria chivis,https://papeleriachivis.netamx.app/
Olimpica 68,Olimpica 68,Abts Marisol,https://abtsmarisol.netamx.app/
Atlacomulco,Atlacomulco,Protein Club Escalerillas,https://proteinclubescalerillas.netamx.app/
El Chamizal,El Chamizal,Productos de Belleza Garcia,https://productosdebellezagarcia.netamx.app/
El Chamizal,El Chamizal,Novedades Dalia,https://novedadesdalia.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,Abts Maye,https://abtsmaye.netamx.app/
Mexico 2da Secc,Mexico 2da Secc,Abts Ventanita Bety,https://abtsventanitabety.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Cafe Internet fa,https://cafeinternetfa.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Cremeria Rosales,https://cremeriarosales.netamx.app/
Iztacalco,Granjas México,Dulces El Negro,https://dulceselnegro.netamx.app/
Coyoacán,"Ex-Hacienda Coapa, Coapa",Super Max,https://supermax.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Cremeria San Pedro,https://cremeriasanpedro.netamx.app/
Hab Prado Vallejo,Hab Prado Vallejo,okfe,https://okfe.netamx.app/
San Agustin 1ra Secc,San Agustin 1ra Secc,Cremería y vinos kenia,https://cremeriakenia.netamx.app/
Emiliano Zapata 1a Secc,Emiliano Zapata 1a Secc,Jarceria Betos,https://jarceriabetos.netamx.app/
Virgencitas,Virgencitas,Farmacia Genericos,https://farmaciagenericos.netamx.app/
San Agustin 1ra Secc,San Agustin 1ra Secc,Abts Erick,https://abtserick.netamx.app/
Álvaro Obregón,Punta de Ceguayo,Antojitos Isa,https://antojitosisa.netamx.app/
Coyoacán,"Croc VI, Coapa",La Miscelanea,https://lamiscelanea.netamx.app/
Los Volcanes,Los Volcanes,La ventanita de Pau,https://laventanitadepau.netamx.app/
Iztacalco,Granjas México,Bisutería cesi,https://bisuteriacesi.netamx.app/
El Chamizal,El Chamizal,carnicería y tocineria moon,https://carniceriamoon.netamx.app/
Gustavo A. Madero,Santa Rosa,Cyber Cafe Ruiz,https://caferuiz.netamx.app/
El Chamizal,El Chamizal,Novedades rehilete,https://novedadesrehilete.netamx.app/
Iztacalco,Barrio de San Miguel,Productos de limpieza omar,https://productosomar.netamx.app/
Álvaro Obregón,Jalalpa Tepito,Purificadora delta,https://purificadoradelta.netamx.app/
Estado de Mexico,Estado de Mexico,El Castillo Rosa,https://elcastillorosa.netamx.app/
Gustavo A. Madero,Santa Rosa,Balnacan Pib,https://balnacanpib.netamx.app/
Iztacalco,Granjas México,Materias primas el chucho,https://elchucho.netamx.app/
San Agustin 3ra Secc A,San Agustin 3ra Secc A,Saldos y ofertas,https://saldosyofertas.netamx.app/
Campiña de Aragon,Campiña de Aragon,Abarrotes annie,https://abtsannie.netamx.app/
Cd y Puerto,Cd y Puerto,Abarrotes los weros,https://abtslosweros.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Cocina Don Costa,https://cocinadoncosta.netamx.app/
Iztacalco,Barrio de San Miguel,Dulces la puertita,https://dulceslapuertita.netamx.app/
Porfirio Diaz,Porfirio Diaz,Abarrotes La Negrita,https://abtslanegrita.netamx.app/
Cuauhtémoc,"Tepito, Morelos",B&G,https://bg.netamx.app/
Álvaro Obregón,Garcimarrero,Framboyan,https://framboyan.netamx.app/
Metropolitana 2da Secc,Metropolitana 2da Secc,Mayrim Nails,https://mayrimnails.netamx.app/
Iztacalco,Los Picos de Iztacalco I A,Polleria el rolas,https://polleriaelrolas.netamx.app/
Metropolitana 2da Secc,Metropolitana 2da Secc,Productos leti,https://productosleti.netamx.app/
Iztapalapa,Sta Cruz Meyehualco,Productos varios Karen,https://productoskaren.netamx.app/
Iztapalapa,Área Federal Central de Abastos,Surtidora Gourmet,https://surtidoragourmet.netamx.app/
Gustavo A. Madero,Santa Rosa,Utilidades Lau,https://utilidadeslau.netamx.app/
El Chamizal,El Chamizal,Abarrotes ebenezer,https://abtsebenezer.netamx.app/
Iztacalco,Barrio de San Miguel,Casa Gonzales,https://casagonzales.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Depósito luis,https://depositoluis.netamx.app/
Valle de Santiago,Valle de Santiago,Abarrotes Fer,https://abarrotesfer.netamx.app/
La Joya Ixtacala,La Joya Ixtacala,"Tienda ""la ventanita""",https://tiendaventanita58.netamx.app/
Cuajimalpa de Morelos,Santa Rosa Xochiac,La golondrina,https://lagolondrina.netamx.app/
El Chamizal,El Chamizal,Pollería chamizal,https://polleriachamizal.netamx.app/
Valle de Santiago,Valle de Santiago,Recauderia Mary,https://recauderiamary.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Tortilleria Jenny,https://tortilleriajenny.netamx.app/
Iztapalapa,San Juan Xalpa,Abarrotes kataleya,https://abarroteskataleya.netamx.app/
Valle de Santiago,Valle de Santiago,Cremería y abarrotes richard,https://abtsrichard.netamx.app/
Álvaro Obregón,"Tizapán San Ángel, Ermita Tizapán",El emporio,https://elemporio.netamx.app/
Iztapalapa,San Lucas,Farmacia Itzel,https://farmaciaitzel.netamx.app/
Juárez Pantitlan,Juárez Pantitlan,Miches el Vigo,https://micheselvigo.netamx.app/
Álvaro Obregón,Acuilotla,Pachecos,https://pachecos.netamx.app/
